src\tgt;ksh;nds;als;pfl;bar;random_seed
ksh;0.7861040061092592;0.6204483999315834;0.7657420288022548;0.8157377929409781;0.6722952382712865;AVG
nds;0.5964864944629097;0.6762477474741339;0.6367570215009626;0.6125095113656994;0.6261917819920039;AVG
als;0.7461967568713307;0.709497147680073;0.7975850659416922;0.8088741544437746;0.7043415817564288;AVG
pfl;0.7882675875063025;0.6101702576730564;0.7568443825642618;0.8241021734015872;0.6733561775321572;AVG
bar;0.7274845830914582;0.6744719436616223;0.7221648506193956;0.6906610805908513;0.6761245124002842;AVG
ALL;0.7569148645336727;0.7124772252700496;0.7949903362268628;0.8151008614698977;0.6990947861635438;AVG
ksh;0.7791411042944785;0.6146496815286625;0.7668218366483284;0.8044692737430167;0.6709021601016519;1
nds;0.6008583690987125;0.6782178217821783;0.6316565865171855;0.6055776892430278;0.6275555555555555;1
als;0.7464788732394366;0.7092198581560283;0.7964728312678742;0.810126582278481;0.7040000000000001;1
pfl;0.7911392405063291;0.6107883817427386;0.7562862669245649;0.8205128205128205;0.6714471968709257;1
bar;0.7330960854092528;0.6773504273504274;0.7210651199578172;0.6827586206896552;0.6766798418972332;1
ALL;0.7526132404181185;0.7132579650565262;0.7964772590179756;0.8143322475570033;0.6992592592592592;1
ksh;0.7962962962962964;0.6255077173030057;0.7677173683097102;0.8169014084507042;0.6755218216318786;2
nds;0.6034482758620688;0.6822085889570553;0.6376301510485408;0.6129032258064516;0.623885918003565;2
als;0.7482517482517482;0.7125506072874495;0.7989512572994876;0.8126984126984126;0.7045123726346433;2
pfl;0.7861635220125787;0.6137123745819398;0.7575888051668461;0.8275862068965518;0.6736703873933028;2
bar;0.7188612099644127;0.6645367412140576;0.7248586827921651;0.6920415224913494;0.6808176100628931;2
ALL;0.7628865979381444;0.7137014314928425;0.7959405581732512;0.8205128205128205;0.7030213706705968;2
ksh;0.782874617737003;0.6211878009630819;0.7626868814487261;0.8258426966292135;0.6704617330803289;3
nds;0.5851528384279476;0.6683168316831684;0.6409843269371613;0.6190476190476191;0.6271338724168912;3
als;0.7438596491228071;0.7067209775967414;0.7973311092577148;0.8037974683544304;0.7045123726346433;3
pfl;0.7875;0.6060100166944908;0.7566580756013745;0.8242074927953891;0.6749509483322432;3
bar;0.7304964539007093;0.6815286624203822;0.7205707491082044;0.6971830985915491;0.6708760852407262;3
ALL;0.7552447552447552;0.7104722792607803;0.7925531914893618;0.8104575163398693;0.6950037285607755;3
