src\tgt;ksh;nds;als;pfl;bar;random_seed
ksh;0.7634857547971542;0.49033806569986454;0.6741797253721961;0.7717368999926144;0.5702005575888335;AVG
nds;0.9409804170367551;0.7754646209022372;0.7977104665480089;0.9314113597246126;0.7429920625341166;AVG
als;0.8372843368537266;0.6614099759222881;0.778113753166391;0.8645737574309003;0.6663609964847929;AVG
pfl;0.7833890060947023;0.4928247340678163;0.6754733860832697;0.7952559758219616;0.5844159643374777;AVG
bar;0.8297272488853921;0.6569846605885098;0.7835824977245042;0.8304566555632901;0.6913935416815905;AVG
ALL;0.838515256163665;0.6705306370394443;0.7857528422469752;0.8955733963553794;0.6725273020524548;AVG
ksh;0.7559523809523809;0.4831038798498123;0.6759932848349188;0.7578947368421053;0.5701943844492441;1
nds;0.9333333333333332;0.7806267806267806;0.7965029761904762;0.9156626506024096;0.740041928721174;1
als;0.8412698412698413;0.660377358490566;0.777028598000465;0.8648648648648649;0.6657496561210454;1
pfl;0.7911392405063291;0.4919786096256685;0.674784276126558;0.7868852459016393;0.5812641083521445;1
bar;0.8373983739837398;0.6617954070981211;0.7825464949928469;0.8114754098360656;0.6936790923824959;1
ALL;0.8372093023255814;0.6724806201550387;0.7863268222963316;0.8992805755395683;0.6723646723646723;1
ksh;0.7771084337349398;0.4974160206718346;0.6766735036360246;0.7754010695187166;0.572347266881029;2
nds;0.945945945945946;0.776536312849162;0.7969208211143695;0.95;0.7383966244725738;2
als;0.8359375;0.6629001883239172;0.7795348837209303;0.8707482993197279;0.6666666666666666;2
pfl;0.78125;0.496617050067659;0.676860934795153;0.8;0.5862857142857143;2
bar;0.8211382113821138;0.6473029045643154;0.7841296928327645;0.8264462809917356;0.6939102564102564;2
ALL;0.8345864661654135;0.6698656429942419;0.7869087434304826;0.8888888888888888;0.6727785613540197;2
ksh;0.757396449704142;0.4904942965779467;0.6698723876456445;0.7819148936170213;0.5680600214362272;3
nds;0.943661971830986;0.7692307692307693;0.7997076023391813;0.9285714285714286;0.7505376344086021;3
als;0.8346456692913385;0.660952380952381;0.7777777777777778;0.8581081081081081;0.6666666666666666;3
pfl;0.7777777777777778;0.4898785425101215;0.6747749473280981;0.7988826815642458;0.5856980703745743;3
bar;0.8306451612903226;0.6618556701030928;0.784071305347901;0.853448275862069;0.6865912762520194;3
ALL;0.84375;0.6692456479690522;0.7840229610141115;0.8985507246376812;0.6724386724386724;3
